row_id,subject,time_step,activity,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,device,acc_magnitude,gyro_magnitude
1,1,0,Walking,-1.3662381904758565,0.1415333561743305,9.407383484906186,0.1109805216679175,-0.2154289340191982,0.0808774163168932,phone_A,9.507129036471019,0.25547496603860664
2,1,1,Walking,-0.923150084529862,0.6185528503695659,9.569188515659846,0.3338468486496766,-0.2010165009909467,0.1629299381128877,phone_A,9.63349274954334,0.4223831397646369
3,1,2,Walking,-0.4437479964340315,0.811328469246144,9.791356152252645,0.5076629882738584,-0.0479086425397251,0.1510962180548295,phone_A,9.834928645882705,0.5318336345170502
4,1,3,Walking,0.2982017948048729,0.9362142534232514,10.093387579443082,0.509256944132374,0.1334854141541509,0.1887879544171999,phone_A,10.141099263274844,0.5592869412671637
5,1,4,Walking,0.985162696613331,0.6053701983468296,10.049108824652722,0.3987455876635542,0.29954091305041,0.0667156151921285,phone_A,10.115414316060322,0.5031637661663354
6,1,5,Walking,1.325939085413138,0.1820612765695456,10.212549474464806,0.1848922857263606,0.3690723261691225,-0.0314308668865488,phone_A,10.299875122303364,0.4139896600861491
7,1,6,Walking,1.4244893931587943,-0.1510523409899204,10.042751593200386,-0.0628085331583782,0.3546273949827482,-0.0745884830822897,phone_A,10.144399755710996,0.36778926427816544
8,1,7,Walking,0.9610386251946288,-0.4977511305925489,9.905337079848932,-0.3276804845495279,0.2459669620969859,-0.1485982793259087,phone_A,9.964288940639584,0.43583907008947037
9,1,8,Walking,0.15713350660669,-0.7398055264299773,9.81129035310742,-0.4109653032346457,0.1240663538435474,-0.1786008623768523,phone_A,9.840397428397573,0.4649550609043114
10,1,9,Walking,-0.5770500269098899,-0.6142725915182782,9.555348448680204,-0.3304845188120515,-0.0454489252214174,-0.099446382710051,phone_A,9.592445023347409,0.34810229101850093
11,1,10,Walking,-1.1745997797005217,-0.2332554692663352,9.411674187166325,-0.2127627502138731,-0.2183834452948976,-0.0366825140303065,phone_A,9.487555204676706,0.30709106775193595
12,1,11,Walking,-1.2720217905500155,0.1104207600332198,9.579325185623087,0.050065605492256,-0.2316370973655413,0.0862233110847873,phone_A,9.664041762730188,0.25218399850835793
13,1,12,Walking,-1.1454955470802315,0.5759013440783852,9.57182701635707,0.292284812661586,-0.1972925118089894,0.1059750177358725,phone_A,9.657313023691167,0.3682192978547392
14,1,13,Walking,-0.4602848787883475,0.757554924808352,9.852310228725798,0.4780769509577759,-0.0502317023801713,0.1784739258250029,phone_A,9.89210637209273,0.5127706477173615
